Course,Title,Quarter,Year,Day and Time,Instructor,Total Enrollment after  Phase 1,Seats Available after Phase 1,Phase 1 Price,Total Enrollment after  Phase 2,Seats Available after Phase 2,Phase 2 Price,Total Enrollment after  Phase 1 New Students,Seats Available after Phase 1 New Students,Phase 1 New Students Price,Total Enrollment after  Phase 2 New Students,Seats Available after Phase 2 New Students,Phase 2 New Students Price,Total Enrollment after  Phase 3,Seats Available after Phase 3,Phase 3 Price,Total Enrollment after  Phase 4,Seats Available after Phase 4,Phase 4 Price
37882-88,Marketing Strategy Simulation ⑤,Summer,2020,"Thursday, 7:00 - 10:00","Chintagunta, Pradeep",23,42,1900,24,41,1100,46,19,N/A,46,19,N/A,51,14,0,,,
38001-81,Managing in Organizations,Summer,2020,"Friday, 6:00 -  9:00","O'Brien, Ed",65,CLO,1000,65,CLO,101,65,CLO,N/A,65,CLO,N/A,64,1,0,,,
38001-85,Managing in Organizations,Summer,2020,"Saturday, 9:00 - 12:00","O'Brien, Ed",19,46,0,17,48,0,17,48,N/A,17,48,N/A,38,27,0,,,
38001-86,Managing in Organizations,Summer,2020,"Saturday, 1:30 -  4:30","O'Brien, Ed",45,20,0,48,17,0,53,12,0,52,13,N/A,61,4,0,,,
38002-81,Managerial Decision Making,Summer,2020,"Monday, 6:00 -  9:00","Hastie, Reid",60,10,0,63,7,0,63,7,N/A,64,6,0,65,5,0,,,
38002-85,Managerial Decision Making,Summer,2020,"Saturday, 1:30 -  4:30","Hastie, Reid",23,42,0,23,42,0,23,42,N/A,23,42,N/A,28,37,0,,,
38103-81,Strategies and Processes of Negotiation,Summer,2020,"Monday, 6:00 -  9:00","Wu, George",17,38,0,15,40,0,15,40,N/A,15,40,N/A,23,32,0,,,
38103-82,Strategies and Processes of Negotiation,Summer,2020,"Tuesday, 6:00 -  9:00","Wu, George",21,34,0,22,33,0,24,31,0,25,30,0,27,28,0,,,
38821-88,Persuasion: Effective Business Communication ⑤,Summer,2020,"Thursday, 7:00 - 10:00","Weitzman, Hal",36,CLO,5193,35,1,8000,35,1,N/A,35,1,N/A,36,CLO,4651,,,
38870-88,Designing a Good Life ⑤,Summer,2020,"Friday, 8:00 - 11:00","Epley, Nicholas",38,36,5501,38,36,18918,75,CLO,N/A,75,CLO,N/A,75,CLO,N/A,,,
38886-88,Power and Influence in Organizations ⑤,Summer,2020,"Friday, 7:00 - 10:00","Menon, Tanya",48,27,3000,49,26,5000,75,CLO,N/A,75,CLO,N/A,75,CLO,2501,,,
40000-81,Operations Management: Business Process Fundamentals,Summer,2020,"Friday, 6:00 -  9:00","Chayet, Sergio",70,CLO,2500,70,CLO,6199,70,CLO,N/A,70,CLO,N/A,70,CLO,5296,,,
40000-85,Operations Management: Business Process Fundamentals,Summer,2020,"Saturday, 1:30 -  4:30","Chayet, Sergio",67,3,0,69,1,0,70,CLO,4003,70,CLO,N/A,70,CLO,N/A,,,
40111-85,Project Management,Summer,2020,"Saturday, 9:00 - 12:00","Chayet, Sergio",40,CLO,6432,40,CLO,16996,40,CLO,N/A,40,CLO,N/A,40,CLO,12432,,,
40810-88,Strategic Service Design and Delivery ⑤,Summer,2020,"Friday, 7:00 - 10:00","DeHoratius, Nicole",20,45,500,20,45,N/A,48,17,N/A,48,17,N/A,50,15,0,,,
41000-81,Business Statistics,Summer,2020,"Friday, 6:00 -  9:00","McCulloch, Robert",29,36,0,27,38,N/A,57,8,0,55,10,0,52,13,0,,,
41000-85,Business Statistics,Summer,2020,"Saturday, 9:00 - 12:00","McCulloch, Robert",5,60,0,3,62,N/A,7,58,0,7,58,N/A,15,50,0,,,
41301-81,"Statistical Insight into Marketing, Consulting, and Entrepreneurship",Summer,2020,"Tuesday, 6:00 -  9:00","Gilula, Zvi",34,6,5094,34,6,14998,34,6,N/A,34,6,N/A,40,CLO,7214,,,
42001-81,Competitive Strategy,Summer,2020,"Tuesday, 6:00 -  9:00","Marciano, Sonia",68,2,0,70,CLO,1,70,CLO,N/A,70,CLO,N/A,70,CLO,4001,,,
42001-85,Competitive Strategy,Summer,2020,"Saturday, 9:00 - 12:00","Marciano, Sonia",51,14,0,52,13,0,52,13,N/A,52,13,N/A,59,6,0,,,
42813-88,Storytelling ⑤,Summer,2020,"Friday, 8:00 - 11:00","Rolnik, Guy",35,30,3019,35,30,2345,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,,,
42820-88,Technology Strategy ⑤,Summer,2020,"Friday, 8:00 - 11:00","Knez, Marc",41,34,6001,40,35,11001,74,1,N/A,74,1,N/A,75,CLO,N/A,,,
30000-01,Financial Accounting,Autumn,2019,"Tuesday, 1:30 -  4:30","Zakolyukina, Anastasia",9,56,0,9,56,0,65,CLO,396,65,CLO,7944,65,CLO,1423,,,
30000-02,Financial Accounting,Autumn,2019,"Wednesday, 8:30 - 11:30","Zakolyukina, Anastasia",7,58,0,5,60,N/A,65,CLO,0,65,CLO,3543,65,CLO,0,,,
30000-03,Financial Accounting,Autumn,2019,"Wednesday, 1:30 -  4:30","Granja, Joao",13,52,0,14,51,0,65,CLO,1501,65,CLO,4333,65,CLO,4494,,,
30000-04,Financial Accounting,Autumn,2019,"Wednesday, 8:30 - 11:30","Granja, Joao",10,55,0,10,55,0,65,CLO,1200,65,CLO,2111,65,CLO,3114,,,
30000-05,Financial Accounting,Autumn,2019,"Friday, 8:30 - 11:30","Nikolaev, Valeri",1,64,0,0,65,N/A,7,58,0,46,19,0,21,44,0,,,
30000-06,Financial Accounting,Autumn,2019,"Friday, 1:30 -  4:30","Nikolaev, Valeri",2,63,0,2,63,N/A,48,17,0,65,CLO,0,52,13,0,,,
30000-81,Financial Accounting,Autumn,2019,"Tuesday, 6:00 -  9:00","Zakolyukina, Anastasia",5,60,0,5,60,0,12,53,0,13,52,0,39,26,0,,,
30000-82,Financial Accounting,Autumn,2019,"Wednesday, 6:00 -  9:00","Granja, Joao",15,50,0,14,51,0,49,16,0,48,17,0,65,CLO,1004,,,
30000-85,Financial Accounting,Autumn,2019,"Saturday, 9:00 - 12:00","Heltzer, Wendy",3,62,0,1,64,N/A,48,17,0,38,27,N/A,35,30,0,,,
30116-01,Accounting and Financial Analysis I,Autumn,2019,"Monday, 1:30 -  4:30","Christensen, Hans",3,62,0,4,61,0,9,56,0,10,55,0,11,54,0,,,
30116-02,Accounting and Financial Analysis I,Autumn,2019,"Tuesday, 1:30 -  4:30","Christensen, Hans",3,62,0,3,62,N/A,12,53,0,15,50,0,19,46,0,,,
30116-81,Accounting and Financial Analysis I,Autumn,2019,"Monday, 6:00 -  9:00","Christensen, Hans",7,58,0,8,57,0,9,56,0,9,23,N/A,7,25,0,,,
30118-01,Taxes and Business Strategy,Autumn,2019,"Friday, 8:30 - 11:30","Erickson, Merle",18,47,0,21,44,0,24,41,0,24,41,0,21,44,0,,,
30118-02,Taxes and Business Strategy,Autumn,2019,"Friday, 1:30 -  4:30","Erickson, Merle",20,45,0,26,39,0,33,32,0,33,32,0,35,30,0,,,
30118-85,Taxes and Business Strategy,Autumn,2019,"Saturday, 9:00 - 12:00","Erickson, Merle",54,11,0,50,15,0,50,15,N/A,50,15,N/A,49,16,0,,,
30130-01,Financial Statement Analysis,Autumn,2019,"Wednesday, 8:30 - 11:30","Minnis, Michael",31,34,0,39,26,0,65,CLO,952,65,CLO,2423,65,CLO,3520,,,
30130-02,Financial Statement Analysis,Autumn,2019,"Wednesday, 1:30 -  4:30","Minnis, Michael",33,32,0,40,25,0,65,CLO,1220,65,CLO,3851,65,CLO,200,,,
30130-81,Financial Statement Analysis,Autumn,2019,"Wednesday, 6:00 -  9:00","Minnis, Michael",36,29,0,39,26,0,44,21,0,45,20,0,56,9,0,,,
30600-60,Workshop in Accounting Research,Autumn,2019,"Thursday, 1:20 -  2:50","Bonham, Jonathan;Tomy, Rimmy",6,59,0,6,59,N/A,6,59,N/A,6,59,N/A,7,58,0,,,
30903-50,Topics in Empirical Accounting Research,Autumn,2019,"Wednesday, 3:00 -  6:15","Leuz, Christian",5,17,0,5,17,N/A,5,17,N/A,5,17,N/A,6,16,0,,,
31402-01,Leadership Practicum,Autumn,2019,"Wednesday, 8:30 - 11:30","Collins, Chris",30,CLO,5,30,CLO,597,30,CLO,N/A,30,CLO,N/A,30,CLO,5003,,,
32100-01,Data Analysis with R and Python,Autumn,2019,"Friday, 8:30 - 11:30","Wang, Xikuan",28,7,0,32,3,0,35,CLO,6106,35,CLO,N/A,35,CLO,2000,,,
32100-85,Data Analysis with R and Python,Autumn,2019,"Saturday, 1:30 -  4:30","Wang, Xikuan",20,15,0,17,18,N/A,23,12,0,23,12,N/A,35,CLO,1000,,,
33001-01,Microeconomics,Autumn,2019,"Friday, 8:30 - 11:30","Frankel, Alexander",0,65,N/A,1,64,0,42,23,0,62,3,0,27,38,0,,,
33001-02,Microeconomics,Autumn,2019,"Friday, 1:30 -  4:30","Frankel, Alexander",0,65,N/A,0,65,N/A,65,CLO,0,65,CLO,0,59,6,0,,,
33001-03,Microeconomics,Autumn,2019,"Tuesday, 1:30 -  4:30","Zimmerman, Seth",12,53,0,12,53,0,65,CLO,2427,65,CLO,6000,65,CLO,5202,,,
33001-04,Microeconomics,Autumn,2019,"Monday, 1:30 -  4:30","Hornbeck, Richard",4,61,0,5,60,0,65,CLO,0,65,CLO,2849,64,1,N/A,,,
33001-05,Microeconomics,Autumn,2019,"Monday, 8:30 - 11:30","Hornbeck, Richard",2,63,0,1,64,N/A,35,30,0,65,CLO,2222,65,CLO,N/A,,,
33001-06,Microeconomics,Autumn,2019,"Wednesday, 1:30 -  4:30","Gibbs, Michael",3,62,0,4,61,0,65,CLO,752,65,CLO,4055,65,CLO,1865,,,
33001-81,Microeconomics,Autumn,2019,"Friday, 6:00 -  9:00","Frankel, Alexander",3,62,0,3,62,N/A,9,56,0,7,58,N/A,10,55,0,,,
33001-82,Microeconomics,Autumn,2019,"Tuesday, 6:00 -  9:00","Zimmerman, Seth",5,60,0,6,59,0,45,20,0,50,15,0,65,CLO,3000,,,
33001-83,Microeconomics,Autumn,2019,"Monday, 6:00 -  9:00","Hornbeck, Richard",0,65,N/A,0,65,N/A,11,54,0,10,55,0,35,30,0,,,
33001-85,Microeconomics,Autumn,2019,"Saturday, 1:30 -  4:30","Gibbs, Michael",6,59,0,6,59,N/A,62,3,0,61,4,0,64,1,0,,,
33002-01,Accelerated Microeconomics,Autumn,2019,"Wednesday, 8:30 - 11:30","Topel, Robert",2,63,0,3,62,0,47,18,0,65,CLO,211,60,5,0,,,
33002-81,Accelerated Microeconomics,Autumn,2019,"Wednesday, 6:00 -  9:00","Topel, Robert",6,34,0,5,35,N/A,13,27,0,13,27,0,14,26,0,,,
33040-01,Macroeconomics,Autumn,2019,"Wednesday, 1:30 -  4:30","Huizinga, John",20,45,0,17,48,0,19,46,0,18,47,N/A,21,44,0,,,
33040-02,Macroeconomics,Autumn,2019,"Monday, 8:30 - 11:30","Hurst, Erik",17,48,0,21,44,0,34,31,0,35,30,0,40,25,0,,,
33040-03,Macroeconomics,Autumn,2019,"Monday, 1:30 -  4:30","Hurst, Erik",24,41,0,27,38,0,39,26,0,49,16,0,53,12,0,,,
33040-81,Macroeconomics,Autumn,2019,"Tuesday, 6:00 -  9:00","Huizinga, John",34,31,0,34,31,0,35,30,0,35,30,N/A,31,34,0,,,
33101-01,Advanced Microeconomic Analysis,Autumn,2019,"Wednesday, 8:30 - 11:30","Murphy, Kevin",30,35,0,32,33,0,65,CLO,3251,65,CLO,2012,64,1,0,,,
33101-81,Advanced Microeconomic Analysis,Autumn,2019,"Tuesday, 6:00 -  9:00","Murphy, Kevin",11,54,0,10,55,0,18,47,0,18,47,0,43,22,0,,,
33112-01,Business in Historical Perspective,Autumn,2019,"Wednesday, 8:30 - 11:30","Hornbeck, Richard",15,50,0,23,42,0,48,17,0,54,11,0,57,8,0,,,
33113-01,History of Economic Ideas ⑤,Autumn,2019,"Thursday, 8:30 - 11:30","Barry, Brian",22,43,0,28,37,0,28,37,N/A,28,37,N/A,33,32,0,,,
33113-85,History of Economic Ideas ⑤,Autumn,2019,"Saturday, 1:30 -  4:30","Barry, Brian",6,26,0,6,26,0,7,25,0,7,25,N/A,9,23,0,,,
33310-81,Employment Law for Entrepreneurs and Managers,Autumn,2019,"Thursday, 6:00 -  9:00","Pogrund, David",20,20,0,22,18,0,24,16,0,26,14,0,24,16,0,,,
33401-01,Money and Banking,Autumn,2019,"Monday, 1:30 -  4:30","Huber, Kilian",27,38,0,31,34,0,34,31,0,36,29,0,32,33,0,,,
33401-81,Money and Banking,Autumn,2019,"Tuesday, 6:00 -  9:00","Huber, Kilian",29,36,0,31,34,0,31,34,N/A,31,34,N/A,36,29,0,,,
33502-01,International Financial Policy,Autumn,2019,"Tuesday, 8:30 - 11:30","Neiman, Brent",29,36,0,40,25,0,41,24,0,41,24,N/A,37,28,0,,,
33502-02,International Financial Policy,Autumn,2019,"Tuesday, 1:30 -  4:30","Neiman, Brent",34,31,0,37,28,0,62,3,0,65,CLO,964,59,6,0,,,
33502-81,International Financial Policy,Autumn,2019,"Tuesday, 6:00 -  9:00","Neiman, Brent",41,24,0,45,20,0,46,19,0,46,19,N/A,41,24,0,,,
33520-01,The Wealth of Nations,Autumn,2019,"Monday, 1:30 -  4:30","Hsieh, Chang-Tai",20,45,0,26,39,0,28,37,0,34,31,0,33,32,0,,,
33520-02,The Wealth of Nations,Autumn,2019,"Wednesday, 1:30 -  4:30","Hsieh, Chang-Tai",21,44,0,23,42,0,27,38,0,30,35,0,30,35,0,,,
33520-81,The Wealth of Nations,Autumn,2019,"Monday, 6:00 -  9:00","Hsieh, Chang-Tai",33,7,0,28,12,0,30,10,0,29,11,N/A,23,17,0,,,
33610-60,Applied Economics Workshop,Autumn,2019,"Wednesday, 1:20 -  2:50","Frankel, Alexander;Zimmerman, Seth",1,31,0,1,31,N/A,2,30,0,2,30,N/A,2,30,N/A,,,
33650-60,Workshop in Macro and International Economics,Autumn,2019,"Monday,11:45 -  1:15","Dingel, Jonathan;Huber, Kilian;Kashyap, Anil",0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,5,60,0,,,
33911-50,The Economics of Information,Autumn,2019,"Tuesday,10:00 -  1:00","Harris, Milton",5,20,0,5,20,N/A,5,20,N/A,5,20,N/A,4,21,N/A,,,
33914-50,Topics in Information Economics,Autumn,2019,"Wednesday, 9:00 - 12:00","Kamenica, Emir",4,28,0,4,28,N/A,4,28,N/A,4,28,N/A,5,27,0,,,
33921-50,Advanced Industrial Organization I,Autumn,2019,"Friday, 8:30 - 11:30","Syverson, Chad",7,25,0,7,25,N/A,7,25,N/A,7,31,N/A,10,28,0,,,
33946-50,International Macroeconomics and Trade,Autumn,2019,"Monday, 8:30 - 11:30","Dingel, Jonathan",0,19,N/A,0,19,N/A,0,19,N/A,0,19,N/A,1,18,0,,,
34101-01,Entrepreneurial Finance and Private Equity,Autumn,2019,"Monday, Wednesday,10:10 - 11:30","Kaplan, Steven",70,CLO,8401,70,CLO,11454,70,CLO,N/A,70,CLO,N/A,70,CLO,N/A,,,
34101-02,Entrepreneurial Finance and Private Equity,Autumn,2019,"Monday, Wednesday, 1:30 -  2:50","Kaplan, Steven",70,CLO,46,70,CLO,N/A,70,CLO,N/A,70,CLO,N/A,70,CLO,14101,,,
34101-85,Entrepreneurial Finance and Private Equity,Autumn,2019,"Saturday, 9:00 - 12:00","Kaplan, Steven",63,2,0,64,1,0,65,CLO,1351,65,CLO,N/A,65,CLO,17340,,,
34102-01,New Venture Strategy,Autumn,2019,"Thursday, 1:30 -  4:30","Schrager, James",65,CLO,6501,65,CLO,9998,65,CLO,N/A,65,CLO,N/A,65,CLO,9019,,,
34102-81,New Venture Strategy,Autumn,2019,"Thursday, 6:00 -  9:00","Bunch, Gregory",50,15,0,50,15,0,50,15,N/A,50,15,N/A,65,CLO,0,,,
34103-01,Building the New Venture,Autumn,2019,"Monday, 8:30 - 11:30","Lyman, Lindsey",25,20,0,28,17,0,45,CLO,1700,45,CLO,N/A,37,8,0,,,
34103-81,Building the New Venture,Autumn,2019,"Monday, 6:00 -  9:00","Lyman, Lindsey",32,13,0,35,10,0,37,8,0,37,8,N/A,44,1,0,,,
34103-85,Building the New Venture,Autumn,2019,"Saturday, 9:00 - 12:00","Lyman, Lindsey",45,CLO,547,45,CLO,2000,45,CLO,N/A,45,CLO,N/A,45,CLO,86,,,
34106-01,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Autumn,2019,"Thursday, 1:30 -  4:30","Meadow, Scott",55,CLO,3000,55,CLO,9554,55,CLO,N/A,55,CLO,N/A,55,CLO,8888,,,
34106-81,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Autumn,2019,"Wednesday, 6:00 -  9:00","Meadow, Scott",49,6,0,48,7,0,48,7,N/A,48,7,N/A,55,CLO,4344,,,
34111-01,Entrepreneurial Selling,Autumn,2019,"Monday, 1:30 -  4:30","Alter, Michael",11,54,0,14,51,0,51,14,0,58,7,0,49,16,0,,,
34111-85,Entrepreneurial Selling,Autumn,2019,"Saturday, 1:30 -  4:30","Alter, Michael",49,16,0,42,23,0,49,16,0,47,18,0,42,23,0,,,
34305-01,Private Equity Transactions ⑤,Autumn,2019,"Tuesday, 3:00 -  6:00","Ritchie, Stephen",25,CLO,3259,25,CLO,8888,25,CLO,N/A,25,CLO,N/A,25,CLO,N/A,,,
34901-50,Asset Pricing I,Autumn,2019,"Wednesday, 8:30 - 11:30","Constantinides, George;Heaton, John",9,13,0,8,14,N/A,9,13,0,9,13,N/A,13,9,0,,,
34903-50,Corporate Finance I,Autumn,2019,"Monday, 3:00 -  6:00","Diamond, Douglas;He, Zhiguo",4,61,0,4,61,N/A,5,60,0,5,60,N/A,11,54,0,,,
35000-01,Investments,Autumn,2019,"Monday, 8:30 - 11:30","Heaton, John",31,34,0,35,30,0,44,21,0,48,17,0,42,23,0,,,
35000-81,Investments,Autumn,2019,"Monday, 6:00 -  9:00","Heaton, John",27,38,0,30,35,0,31,34,0,31,34,N/A,39,26,0,,,
35000-85,Investments,Autumn,2019,"Saturday, 9:00 - 12:00","Heaton, John",45,20,0,44,21,0,46,19,0,46,19,N/A,50,15,0,,,
35001-01,Introductory Finance,Autumn,2019,"Thursday, 1:30 -  4:30","Neuhierl, Andreas",29,36,0,29,36,0,30,35,0,29,36,N/A,33,32,0,,,
35001-81,Introductory Finance,Autumn,2019,"Thursday, 6:00 -  9:00","Neuhierl, Andreas",25,40,0,24,41,0,26,39,0,26,39,N/A,22,43,0,,,
35001-85,Introductory Finance,Autumn,2019,"Saturday, 9:00 - 12:00","Neuhierl, Andreas",22,43,0,20,45,0,22,43,0,22,18,N/A,22,18,0,,,
35100-81,Financial Instruments,Autumn,2019,"Thursday, 6:00 -  9:00","Constantinides, George",23,42,0,26,39,0,29,36,0,30,35,0,33,32,0,,,
35100-85,Financial Instruments,Autumn,2019,"Saturday, 1:30 -  4:30","Constantinides, George",24,41,0,20,45,0,22,43,0,22,43,N/A,23,42,0,,,
35200-01,Corporation Finance,Autumn,2019,"Monday, 8:30 - 11:30","Yannelis, Constantine",18,47,0,18,47,0,20,45,0,21,44,0,22,43,0,,,
35200-02,Corporation Finance,Autumn,2019,"Wednesday, 8:30 - 11:30","Yannelis, Constantine",34,31,0,43,22,0,52,13,0,53,12,0,52,13,0,,,
35200-81,Corporation Finance,Autumn,2019,"Wednesday, 6:00 -  9:00","Yannelis, Constantine",46,19,0,45,20,0,45,20,N/A,45,20,N/A,47,18,0,,,
35201-01,Cases in Financial Management,Autumn,2019,"Tuesday, 8:30 - 11:30","Born, Laura",65,CLO,4602,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,65,CLO,20609,,,
35219-01,Chinese Economy and Financial Markets,Autumn,2019,"Tuesday, 8:30 - 11:30","He, Zhiguo",44,21,0,52,13,0,52,13,N/A,52,13,N/A,62,3,0,,,
35219-85,Chinese Economy and Financial Markets,Autumn,2019,"Saturday, 9:00 - 12:00","He, Zhiguo",38,27,0,40,25,0,44,21,0,43,22,N/A,44,21,0,,,
35600-60,Seminar: Finance,Autumn,2019,"Tuesday, 1:20 -  2:50","Du, Wenxin;Yannelis, Constantine",7,58,0,7,58,N/A,7,58,N/A,7,58,N/A,16,49,0,,,
35601-60,Applied Theory Workshop,Autumn,2019,,Staff,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,,,
35930-50,Research Seminar,Autumn,2019,"Monday, 9:30 - 11:00","He, Zhiguo;Koijen, Ralph;Zwick, Eric",4,16,0,4,16,N/A,4,16,N/A,4,16,N/A,7,13,0,,,
36106-01,Managerial Decision Modeling,Autumn,2019,"Thursday, 8:30 - 11:30","Sandikçi, Burhaneddin",45,CLO,4000,45,CLO,10005,45,CLO,N/A,45,CLO,N/A,45,CLO,12000,,,
36106-81,Managerial Decision Modeling,Autumn,2019,"Thursday, 6:00 -  9:00","Sandikçi, Burhaneddin",45,CLO,1000,45,CLO,505,45,CLO,N/A,45,CLO,N/A,45,CLO,7776,,,
36110-01,Application Development,Autumn,2019,"Thursday, 1:30 -  4:30","Betina, Raghu",30,CLO,2222,30,CLO,7997,30,CLO,N/A,30,CLO,N/A,30,CLO,4499,,,
36110-85,Application Development,Autumn,2019,"Saturday, 1:30 -  4:30","Betina, Raghu",17,13,0,18,12,0,22,8,0,22,8,N/A,23,7,0,,,
36600-60,Workshop in Operations/Management Science,Autumn,2019,"Tuesday,12:10 -  1:20","DeValve, Levi;Xin, Linwei",7,25,0,7,25,N/A,7,25,N/A,7,25,N/A,8,24,0,,,
36900-50,Linear Programming,Autumn,2019,"Monday, 8:30 - 11:30","Xin, Linwei",1,21,0,1,21,N/A,7,15,0,7,15,N/A,7,15,N/A,,,
36905-50,Approximate Dynamic Programming,Autumn,2019,"Wednesday, 8:30 - 11:30","Adelman, Dan",4,15,0,3,16,N/A,3,16,N/A,3,16,N/A,4,15,0,,,
37000-01,Marketing Strategy,Autumn,2019,"Thursday, 1:30 -  4:30","Rao, Anita",14,51,0,17,48,0,65,CLO,1059,65,CLO,4079,65,CLO,101,,,
37000-02,Marketing Strategy,Autumn,2019,"Friday, 8:30 - 11:30","Rao, Anita",1,64,0,3,62,0,65,CLO,0,65,CLO,0,44,21,0,,,
37000-03,Marketing Strategy,Autumn,2019,"Monday, 8:30 - 11:30","Shapiro, Bradley",25,40,0,31,34,0,65,CLO,3601,65,CLO,5005,65,CLO,3729,,,
37000-04,Marketing Strategy,Autumn,2019,"Monday, 1:30 -  4:30","Shapiro, Bradley",58,7,0,58,7,0,65,CLO,4184,65,CLO,3720,65,CLO,5000,,,
37000-81,Marketing Strategy,Autumn,2019,"Thursday, 6:00 -  9:00","Rao, Anita",21,44,0,18,47,0,21,44,0,22,43,0,30,35,0,,,
37000-82,Marketing Strategy,Autumn,2019,"Monday, 6:00 -  9:00","Shapiro, Bradley",45,20,0,48,17,0,65,CLO,50,60,5,N/A,65,CLO,1390,,,
37101-01,Consumer Behavior,Autumn,2019,"Wednesday, 1:30 -  4:30","Bartels, Daniel",70,CLO,1111,70,CLO,2500,70,CLO,N/A,70,CLO,N/A,70,CLO,379,,,
37101-81,Consumer Behavior,Autumn,2019,"Wednesday, 6:00 -  9:00","Bartels, Daniel",60,10,0,60,10,0,63,7,0,62,8,N/A,70,CLO,361,,,
37200-85,New Products and Services,Autumn,2019,"Saturday, 1:30 -  4:30","Terrill, Craig",55,CLO,58,54,1,0,55,CLO,5504,55,CLO,N/A,54,1,0,,,
37301-81,Digital Marketing ,Autumn,2019,"Friday, 6:00 -  9:00","Mohan, Lil",41,24,0,38,27,0,43,22,0,45,20,0,49,16,0,,,
37601-60,Marketing Workshop,Autumn,2019,"Tuesday,10:40 - 12:00","Hitsch, Günter;Urminsky, Oleg",5,27,0,5,27,N/A,5,27,N/A,5,27,N/A,6,26,0,,,
37903-50,Adv Mktg Theory: Behavioral Science Approach,Autumn,2019,,"Bartels, Daniel;Urminsky, Oleg",0,19,N/A,0,19,N/A,0,19,N/A,0,19,N/A,4,15,0,,,
38001-01,Managing in Organizations,Autumn,2019,"Monday, 1:30 -  4:30","McGill, Ann",65,CLO,3500,65,CLO,8029,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,,,
38001-02,Managing in Organizations,Autumn,2019,"Tuesday, 1:30 -  4:30","McGill, Ann",65,CLO,4147,65,CLO,10017,65,CLO,N/A,65,CLO,N/A,65,CLO,10001,,,
38001-81,Managing in Organizations,Autumn,2019,"Monday, 6:00 -  9:00","McGill, Ann",65,CLO,3321,65,CLO,5500,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,,,
38002-01,Managerial Decision Making,Autumn,2019,"Tuesday, 1:30 -  4:30","Hsee, Christopher",44,21,0,65,CLO,11,65,CLO,N/A,65,CLO,N/A,65,CLO,800,,,
38002-81,Managerial Decision Making,Autumn,2019,"Tuesday, 6:00 -  9:00","Hsee, Christopher",65,CLO,1,62,3,0,65,CLO,1974,65,CLO,N/A,65,CLO,0,,,
38003-01,Power and Influence in Organizations,Autumn,2019,"Friday, 1:30 -  4:30","Nussbaum, A.",27,38,0,26,39,0,35,30,0,40,25,0,39,26,0,,,
38003-85,Power and Influence in Organizations,Autumn,2019,"Saturday, 1:30 -  4:30","Nussbaum, A.",54,11,0,50,15,0,65,CLO,458,62,3,N/A,58,7,0,,,
38101-81,Persuasion: Effective Business Communication ⑤,Autumn,2019,"Thursday, 6:00 -  9:00","Weitzman, Hal",36,CLO,4000,36,CLO,5055,36,CLO,N/A,36,CLO,N/A,36,CLO,5677,,,
38103-01,Strategies and Processes of Negotiation,Autumn,2019,"Tuesday, 1:30 -  4:30","Ginzel, Linda",55,CLO,754,55,CLO,3000,55,CLO,N/A,55,CLO,N/A,55,CLO,12073,,,
38103-02,Strategies and Processes of Negotiation,Autumn,2019,"Monday, 1:30 -  4:30","Talhelm, Thomas",26,29,0,34,21,0,55,CLO,1997,55,CLO,3000,52,3,0,,,
38103-03,Strategies and Processes of Negotiation,Autumn,2019,"Wednesday, 1:30 -  4:30","Ginzel, Linda",55,CLO,309,55,CLO,4000,55,CLO,N/A,55,CLO,N/A,55,CLO,6103,,,
38103-81,Strategies and Processes of Negotiation,Autumn,2019,"Wednesday, 6:00 -  9:00","Ginzel, Linda",55,CLO,5558,55,CLO,4327,55,CLO,N/A,55,CLO,N/A,55,CLO,N/A,,,
38103-82,Strategies and Processes of Negotiation,Autumn,2019,"Monday, 6:00 -  9:00","Talhelm, Thomas",17,38,0,16,39,0,21,34,0,21,34,N/A,30,25,0,,,
38103-83,Strategies and Processes of Negotiation,Autumn,2019,"Tuesday, 6:00 -  9:00","Talhelm, Thomas",20,35,0,18,37,0,18,37,N/A,20,35,0,36,19,0,,,
38116-01,Leading and Managing Teams,Autumn,2019,"Thursday, 1:30 -  4:30","Zinchenko, Elena",25,40,0,29,36,0,43,22,0,56,9,0,52,13,0,,,
38116-81,Leading and Managing Teams,Autumn,2019,"Thursday, 6:00 -  9:00","Zinchenko, Elena",37,28,0,37,28,0,41,24,0,40,25,N/A,36,29,0,,,
38601-60,Workshop in Behavioral Science,Autumn,2019,"Monday,10:10 - 11:30","Hastie, Reid;Shah, Anuj",5,60,0,5,60,N/A,7,58,0,7,58,N/A,8,57,0,,,
38902-50,Current Topics in Behavioral Science II,Autumn,2019,"Tuesday, 8:30 - 11:30","Levine, Emma;Risen, Jane",1,18,0,1,18,N/A,5,14,0,5,14,N/A,7,12,0,,,
39101-01,Technology Strategy,Autumn,2019,"Monday, 8:30 - 11:30","Knez, Marc",70,CLO,1012,70,CLO,10000,70,CLO,N/A,70,CLO,N/A,70,CLO,6777,,,
